"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"62","Lady Gaga","Pokerface",23.53,14.09,30.59,0,11.53,67.76,43.15,3.21,0,15.95,55.46,1.6,0.95,4.47,3.74,"1QV6tiMFM6fSOKOGLMHYYg","https://youtube.com/clip/UgkxkOxrG1xvuhSDYypwMKFCijhV_a-eYS77","UgkxkOxrG1xvuhSDYypwMKFCijhV_a-eYS77","0:41","1:18",34,"gems-45_mx"
"63","Madonna","Don't Tell Me",10.15,8.18,17.21,10.3,26.76,30.42,8.33,12.91,0,14.52,19.38,6.45,0.8,2.3,2.85,"23EhTCPRTlLVM6VQUyh8bH",NA,NA,NA,NA,33,"gems-45_mx"
"64","Brett Dennen","She's Mine",21.79,9.15,21.12,31.58,44.48,30.36,3.91,10.3,1.06,25.62,17.14,5.68,0.9,1.33,3.18,"5MnmTKjatNTY3BJ2DURVjE","https://youtube.com/clip/UgkxGwAT62Ys-ElYvHeVhfu4CnuzlwX2YIta","UgkxGwAT62Ys-ElYvHeVhfu4CnuzlwX2YIta","0:09","0:54",33,"gems-45_mx"
"65","Little Big Town","Girl Crush",23.42,10.48,25.36,38.55,26.48,14.45,9.39,6.52,18.12,24.86,11.92,12.32,0.74,1.88,3.24,"11qh54D0PKkBwelpDxxiEU","https://youtube.com/clip/UgkxDHlPsZdT6FoffIsU2V6hSSCfOa5Y19OO","UgkxDHlPsZdT6FoffIsU2V6hSSCfOa5Y19OO","2:02","2:44",33,"gems-45_mx"
"66","Robin Schulz","Sugar",16.85,7.93,11.56,9.52,22,48.26,38,9,0,13.57,43.13,4.5,0.9,3.48,3.22,"5tf1VVWniHgryyumXyJM7w","https://youtube.com/clip/UgkxQj7p_YA0FCZ6NeermmWRYGyr0lFUwGyS","UgkxQj7p_YA0FCZ6NeermmWRYGyr0lFUwGyS","0:38","1:07",27,"gems-45_mx"
"67","Jeremy Kay","Have It All",24.19,14.3,19.33,38.11,30.48,30,16.59,2.19,8.33,25.28,23.3,5.26,0.8,1.41,3.37,"2lt8MKIve6BMPAJ6xfH8bL",NA,NA,NA,NA,27,"gems-45_mx"
"68","Keane","Everybodys Changing",23.11,20.61,30.93,12.43,32.11,32.14,9.5,1.75,11.5,23.84,20.82,6.62,0.77,2.79,3.54,"0yac0FPhLRH9i9lOng3f81","https://youtube.com/clip/UgkxfFTfgRA8-ahZmKesCxkX_XPNf-1VVkZT","UgkxfFTfgRA8-ahZmKesCxkX_XPNf-1VVkZT","0:59","1:30",28,"gems-45_mx"
"69","Enya","Only Time",24.11,34,38.59,29,45.59,17.63,16.59,2.11,19.56,34.26,17.11,10.83,0.81,4.26,3.78,"6FLwmdmW77N1Pxb1aWsZmO","https://youtube.com/clip/UgkxEUYgE850H2Vn3J6Mib6bW_dZNqnfvhCD","UgkxEUYgE850H2Vn3J6Mib6bW_dZNqnfvhCD","0:55","1:25",27,"gems-45_mx"
"70","Katie Tunstall","Suddenly I See",38.29,15.75,21.82,22.5,22.39,60.11,30.89,1.71,0,24.15,45.5,0.86,0.91,3.46,3.86,"5p9XWUdvbUzmPCukOmwoU3","https://youtube.com/clip/Ugkxiw2wzDrVBgD9-ufXze-4AHr4IZN8o3mo","Ugkxiw2wzDrVBgD9-ufXze-4AHr4IZN8o3mo","0:18","0:53",28,"gems-45_mx"
"71","Bruno Mars","Grenade",27.96,15.68,35.46,24.21,14.29,49.21,26.82,9.79,8.25,23.52,38.02,9.02,0.81,4.61,3.5,"4lLtanYk6tkMvooU0tWzG8","https://youtube.com/clip/Ugkx3jVwXevI7XbHnLHgOGEn0ZGfGnsqz2-I","Ugkx3jVwXevI7XbHnLHgOGEn0ZGfGnsqz2-I","1:35","2:41",28,"gems-45_mx"
"72","Macklemore","Same Love",40.46,19.07,34.93,32.5,30.25,31.57,13.32,4.96,6.25,31.44,22.45,5.61,0.83,3,3.54,"01uqI4H13Gsd8Lyl1EYd8H","https://youtube.com/clip/UgkxuB37w_IKefXDD5QrBIjRGgLlY6hrVi-H","UgkxuB37w_IKefXDD5QrBIjRGgLlY6hrVi-H","1:46","2:17",28,"gems-45_mx"
"73","Magic!","Let Your Hair Down",17.46,11.54,21,28.46,34.86,19.61,8.36,13.89,0,22.66,13.98,6.95,0.75,1.32,2.46,"0uQSHrFDVtbQyxNFCwm1EC","https://youtube.com/clip/Ugkx1v_0SUqzOh6Gz67YBFgOSjeWNF7q1AGb","Ugkx1v_0SUqzOh6Gz67YBFgOSjeWNF7q1AGb","0:39","1:24",28,"gems-45_mx"
"74","Elton John","Don't Go Breaking My Heart",43.67,18.83,25.2,10.7,35.2,67.6,31.17,7.33,0,26.72,49.38,3.67,0.93,3.53,3.8,"7HW5WIw7ZgZORCzUxv5gW5","https://youtube.com/clip/UgkxZiqeddPuUzbbBI1OrBqMZdSXJJ9vcqrD","UgkxZiqeddPuUzbbBI1OrBqMZdSXJJ9vcqrD","0:30","1:05",30,"gems-45_mx"
"75","The Weeknd","Starboy",36.37,18.77,15.9,21.3,24.3,39.83,16.1,17.6,6.53,23.33,27.97,12.07,0.7,3.4,3.27,"7MXVkk9YMctZqd1Srtv4MB","https://youtube.com/clip/UgkxgNYU59_0d7MEDEC03bVS5tQgr0-jTFkg","UgkxgNYU59_0d7MEDEC03bVS5tQgr0-jTFkg","1:12","1:43",30,"gems-45_mx"
"76","All American Rejects","Fallin Apart",28.07,17.13,9.13,9.73,26.77,56.2,40.03,8.67,0,18.17,48.12,4.33,0.91,1.77,3.43,"3YoLDoNNTKb7R3Gc3yRrGK","https://youtube.com/clip/UgkxDpumEt0h1YNhzNmcOcC_tpr896wgwGQa","UgkxDpumEt0h1YNhzNmcOcC_tpr896wgwGQa","0:33","1:01",30,"gems-45_mx"
"77","Bon Iver","Skinny Love",42,25.93,55.9,30.87,49.57,27.5,8.7,3.23,13,40.85,18.1,8.12,0.92,2.9,3.53,"1HkOPLwAJH3kE8UnqgxF4s",NA,NA,NA,NA,30,"gems-45_mx"
"78","Katie Perry","I Kissed A Girl",33.45,12.71,24.45,6.39,15.23,59.68,44.39,8.55,1.55,18.45,52.03,5.05,0.92,4.29,3.87,"14iN3o8ptQ8cFVZTEmyQRV","https://youtube.com/clip/UgkxtorIr5hC1D3sL7KcJF9n4-lfiSpsir65","UgkxtorIr5hC1D3sL7KcJF9n4-lfiSpsir65","1:07","1:40",31,"gems-45_mx"
"79","Brett Dennen","Closer To You",18.62,6.44,24.69,26.22,42.78,12.25,6.78,7.12,6.38,23.75,9.52,6.75,0.86,1.59,3.19,"2NqSfApThFnUxlKaj4tnXB","https://youtube.com/clip/UgkxZe58fNuASC2aCErF3xzGg5JqZFoV97YM","UgkxZe58fNuASC2aCErF3xzGg5JqZFoV97YM","0:51","1:36",32,"gems-45_mx"
"80","AnnenMayKantereit","Wohin Du Gehst",20.06,13.41,25.56,5.38,14.72,34.38,34.09,9.47,2.19,15.82,34.23,5.83,0.82,2.38,3.25,"40PO9gfu9bHdnsQqEKrcjg","https://youtube.com/clip/UgkxiaxSqFYnjQM_-8c_0iRU4V94IMleAKvA","UgkxiaxSqFYnjQM_-8c_0iRU4V94IMleAKvA","0:40","1:10",32,"gems-45_mx"
"81","Tracy Chapman","Fast Car",26.23,21.52,43.42,33.26,49.87,21.16,3.65,4.71,8.03,34.86,12.4,6.37,0.9,3.52,3.65,"2M9ro2krNb7nr7HSprkEgo","https://youtube.com/clip/UgkxFYKP3k8jH6kNkXl5mgSK7Ag_DrqVs8C4","UgkxFYKP3k8jH6kNkXl5mgSK7Ag_DrqVs8C4","0:16","0:45",31,"gems-45_mx"
