"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"58","Noisestorm","Breakdown VIP",24.62,38.77,32.54,10.31,17.38,25.92,37.69,17.85,3,24.72,31.81,10.42,0.62,1.46,2.92,"1wrKexsB7sCKsRyfu4J4QT",NA,NA,NA,NA,14,"gems-9"
"59","Princess Chelsea","When The World Turns Grey",21.2,23.07,26,19.47,24,6.27,10.13,14,27.8,22.75,8.2,20.9,0.43,1.07,2.2,"3Oe4aYH6ifYIIYsX2isIR4",NA,NA,NA,NA,15,"gems-9"
"60","Infected Mushroom","Here We Go Go Go",17,29.5,8,1.86,5.86,43.71,50.71,22.36,0.5,12.44,47.21,11.43,0.87,1.14,3.36,"5wTudWQXd6Sjy6nH22fsYv",NA,NA,NA,NA,14,"gems-9"
"61","Krewella","Marching On",22.5,13.59,15.27,21.14,16.14,27.68,27.55,12.82,15.32,17.73,27.61,14.07,0.48,1.41,2.73,"5LVj9daVd1q6fjICKyvl7Y",NA,NA,NA,NA,22,"gems-9"
"62","Alice Dj","Better Off Alone",28.9,26.4,42.8,17.1,16.8,61,50.25,11.55,5.25,26.4,55.62,8.4,0.91,3.65,3.65,"0pMUR7Uvp6vxlbG0qBFvgM",NA,NA,NA,NA,20,"gems-9"
"63","ATB","Desperate Religion",23.92,23.77,21.62,20,34.15,20.77,24.69,20.38,11.62,24.69,22.73,16,-0.42,1.38,2.31,"5BZ0weLeQoPuVLROuXb0sV",NA,NA,NA,NA,13,"gems-9"
"64","Alex Clare","Too Close",28.17,25.92,39.83,20.92,22.92,49.08,44.25,12,14.58,27.55,46.67,13.29,0.76,1.92,3.75,"4sK96UnGx3NjBaqvfTG2dm",NA,NA,NA,NA,12,"gems-9"
"65","Yoav","Club Thing",5.44,15.94,12.5,19.69,21.75,18.88,21.44,19.19,5.5,15.06,20.16,12.34,0.35,1.06,2.5,"7LDqph6mv9A5uzlzuXfhyL",NA,NA,NA,NA,16,"gems-9"
"66","London Grammar","Hey Now (Arty Remix)",35.31,32.06,26.88,24.75,39.12,23.25,21.69,11.06,25.88,31.62,22.47,18.47,0.5,1.81,3.06,"1CUYpY3GpRNkKnn3cEQ2nK",NA,NA,NA,NA,16,"gems-9"
"67","James Blake","Timeless",6.36,7.64,2.71,2.14,5.21,7.71,23.5,49.43,2.21,4.81,15.61,25.82,0.9,1.07,1.43,"49jxn2Mdde8QZUx0AlbD0l",NA,NA,NA,NA,14,"gems-9"
"68","Santigold","Disparate Youth",24.29,21.29,28.5,16.71,20.57,35.5,34.07,18.57,6.29,22.27,34.79,12.43,0.69,1.93,3,"0t2QiRkpag0fAgs9zuCPlH",NA,NA,NA,NA,14,"gems-9"
"69","James Blake","Overgrown",10.57,13.14,17.29,16.29,32.36,6.57,6.71,15.36,23.93,17.93,6.64,19.64,0.57,1.14,1.86,"2IqjKEBiz0CdLKdkXhxw84",NA,NA,NA,NA,14,"gems-9"
