,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,genre
140,141,Evelyn Thomas,High Energy,12.33,8.17,20.5,6.25,6.67,38.33,46.0,23.42,3.83,2O3JCRH7IvUUbzbxEvoVAi,funk_soul
141,142,Faithless,Insomnia,6.88,7.31,2.12,2.69,8.25,5.19,4.5,36.19,4.88,7gWc0QEt2hoIkMv3XxPY1T,electronic
142,143,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),14.0,10.06,25.06,6.88,11.41,32.53,40.06,13.82,5.41,36UVZPoK8a1Oxh13cY8kOp,rock
143,144,Bonobo,Nightlite,37.07,29.6,17.87,13.6,26.13,25.47,28.4,12.8,10.8,1gI1nC5E3ObyMtejdc8crP,electronic
144,145,Flux Pavilion,I Can't Stop,25.53,32.0,10.84,11.21,14.26,38.68,42.47,31.21,5.21,5WSL7UTa38jMWoBzObD4BD,electronic
145,146,Everything But the Girl,Low Tide Of The Night,29.83,23.08,34.5,26.25,43.42,26.0,11.83,4.25,1.0,06bJuoqZDzxSINQFREVLu0,electronic
146,147,Babybird,You're Gorgeous,13.56,2.38,15.0,4.38,22.69,24.06,2.94,0.88,6.75,5COBer69wpwkCPPaLr1gFb,pop
147,148,Wayne Newton,Danke Schoen,14.71,15.64,38.57,21.5,11.5,23.0,16.71,13.29,7.5,1BfbdFWT4wirsQ5BNgmN52,jazz
148,149,Phil Collins,Against All Odds (Take a Look at Me Now),34.0,21.54,52.77,41.54,31.69,16.62,21.69,0.62,20.31,63CHa6rmamv9OsehkRD8oz,rock
149,150,Nina Simone,That's All I Ask,24.33,17.6,38.07,43.67,29.67,15.27,18.87,6.4,34.87,5uI8omnLtzW4xTqJ5AoQtT,jazz
150,151,Lacrimas Profundere,The Crown of Leaving,19.29,17.86,17.71,8.57,18.29,12.0,21.07,24.21,17.0,7qNpAPSfPiLQ47cez2IpeW,rock
151,152,Nero,My Eyes,18.93,23.33,10.87,4.13,10.13,20.47,43.27,37.07,5.27,4gMIZhJUOCjmQxo1fwhhnK,electronic
152,153,ATB,9pm (Till I Come),27.82,24.91,55.45,22.27,10.18,32.27,33.27,11.45,4.18,1CgbwsrNDlFrRuk2ebQ7zr,electronic
153,154,Elis Regina,Como Nossos Pais,20.31,16.56,16.44,23.38,14.62,21.44,19.69,9.19,17.88,2ZC8sdv4Kvuql7Q9T8Agzv,jazz
154,155,Burial,Untrue,10.28,15.83,15.5,7.94,14.06,23.33,21.61,21.11,6.44,1aaIYTqoRDzRUilU2Q6vTe,electronic
155,156,Ella Fitzgerald,The Nearness Of You,30.08,16.58,62.75,36.42,65.33,22.25,11.58,3.83,13.83,39CdOo5GPGSIdxWDvyyWkr,jazz
