"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"67","Tony Toni Ton�","Feels Good",13,8,33.85,12.62,13.15,39.85,27.85,12.62,0.54,16.12,33.85,6.58,0.83,2.15,2.69,"4cRR2gUTOerkUOW5iZpm91",NA,NA,NA,NA,13,"gems-9"
"68","Bruno Mars","Treasure",23.17,11.83,28.39,20.94,10.61,67.33,42.5,12.44,0.17,18.99,54.92,6.31,0.93,3.72,3.5,"55h7vJchibLdUkxdlX3fK7",NA,NA,NA,NA,18,"gems-9"
"69","Teena Marie","365",21.8,15.67,23.47,32.33,23.47,45.93,29,9.87,2.13,23.35,37.47,6,0.8,1.33,3.07,"7w7OoMSngihtJTSbG8HLWV",NA,NA,NA,NA,16,"gems-9"
"70","Earth, Wind & Fire","Let's Groove",38.75,25.56,50.44,37.75,28.88,70.56,41.88,8.56,4.31,36.27,56.22,6.44,0.92,3.88,4.25,"3koCCeSaVUyrRo3N2gHrd8",NA,NA,NA,NA,16,"gems-9"
"71","Gnarls Barkley","Just a Thought",19.54,15.38,21.23,12,13.38,14.92,19.54,32.08,32,16.31,17.23,32.04,0.2,1.15,2.23,"5xNUIReo5O6W1LRp2OKJty",NA,NA,NA,NA,14,"gems-9"
"72","Change","The Glow of Love",29.5,22.9,33.9,26.4,27.2,55.9,24.3,14.2,2.2,27.98,40.1,8.2,0.7,2.2,3,"2tpRtiVvuI4WnwpPYwk9Z6",NA,NA,NA,NA,10,"gems-9"
"73","Beyonc�","Blow Remix",9.33,12.56,19.11,28.5,21.33,44.83,32.83,10.89,2.61,18.17,38.83,6.75,0.88,1.72,2.83,"0GjDYSp1bNyjggwPadwlyf",NA,NA,NA,NA,18,"gems-9"
"74","Kelly Clarkson","Love So Soft",9.45,5.64,10.09,21.64,2.27,54.09,42.45,20.36,2.45,9.82,48.27,11.41,0.89,1.64,2.55,"16QN8cBubEq706vNtPpOME",NA,NA,NA,NA,11,"gems-9"
"75","Fugees","Killing Me Softly with His Song",18.64,27.71,35.43,40.86,41.21,17.93,20,3.93,13.14,32.77,18.96,8.54,0.73,2.71,3.57,"0Q0IVlqMV64kNLlwjPj0Hl",NA,NA,NA,NA,13,"gems-9"
"76","Cheryl Lynn","Got To Be Real",16.56,12.33,29.22,9.22,7.94,32.28,22.89,20.56,1.22,15.06,27.58,10.89,0.73,1.78,2.61,"58r4JuwHhXLAkttkaUZfLw",NA,NA,NA,NA,17,"gems-9"
"77","Ledisi","Alright",13.18,16,11.36,3.73,26.91,37.91,15.27,25.36,2,14.24,26.59,13.68,0.54,1,2.36,"1wRQqmZwiF4thdQ8N7FiNv",NA,NA,NA,NA,11,"gems-9"
"78","Kandi","Don't Think I'm Not",5,2.5,21.9,23,10.3,28.3,17.3,5.7,9.3,12.54,22.8,7.5,0.71,2,2.4,"487Dyzs7Xbbk4hIWYyYT80",NA,NA,NA,NA,10,"gems-9"
"79","Earth, Wind & Fire","Mighty Mighty",9.47,2.73,11.13,1.47,4.67,23.67,19.8,21.2,0.87,5.89,21.73,11.03,0.73,1.27,2.4,"3HFGDi2zGIgdXTocV5k2cs",NA,NA,NA,NA,15,"gems-9"
"80","Tove Lo","Not On Drugs (Ali Payami Remix)",35.45,13.91,28.09,20.09,11,26.91,35.27,7.73,11.55,21.71,31.09,9.64,0.57,1.18,3,"3LIwnakr43o8zMLnsHVye9",NA,NA,NA,NA,11,"gems-9"
"81","Lighthouse Family","Ain't No Sunshine",38.82,23.18,50,31.73,31.09,22.91,12.45,9,31.18,34.96,17.68,20.09,0.69,3.73,3.91,"435rQGMojc5C6xJbtjeynu",NA,NA,NA,NA,11,"gems-9"
