"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Spotify ID"
"373","Tschaikowski","Symphony, 1 Scherzo",19.5,20.41,14.61,11.57,20.52,35.66,19.05,19.68,0,NA
"374","Bartok","Sonata 2 pianos percussion",22.88,24.6,5.95,3.65,10.91,19.67,16.21,43.49,0,NA
"375","Schumann","Fantasie in C-Dur",25.51,28.02,36.72,19.33,33.35,16.95,9.91,7.42,5.33,NA
"376","Schumann","Kinderszenen",15.17,11.57,7.37,8.7,33.43,33.6,12,14.63,0,NA
"377","Grieg","Norwegische Tänze",30.7,31.33,2.5,3.6,7.9,45.1,46.53,31.4,1.03,NA
"378","Schumann","Études Symphoniques",29.27,26.1,46.53,42.3,51.8,19.43,2.63,7.2,6,NA
"379","J.S. Bach","Konzert 2 Violinen, 2. Satz",28.92,12.8,33.6,33.88,59.32,15.92,5.56,6.08,7.64,NA
"380","Mozart","25. Sinfonie (I. Allegro con brio)",31.68,28.84,21.48,7.08,12.68,55.92,32.84,20.6,3.2,NA
"381","Beethoven","Sonate Nr. 8, 2. Satz",21.32,27.52,44.2,39.88,59.84,6.68,1.4,6.96,28.4,NA
"382","Bizet","Carmen (Habanera)",30.69,11.93,20.14,15.14,17.1,31.21,28.93,7.66,4.93,NA
"383","Chopin","Revolutionary Etude",25.48,25.24,10.14,3,6.62,28.41,25.24,21.48,2.93,NA
"384","Liszt","Spanish Rhapsody",27.79,22.9,41.41,32.07,45.83,17.9,2.72,6.45,1.9,NA
"385","Brahms","Sonate Nr. 2 für Klarinette, 1. Satz",19.16,24.95,44.35,37.51,51.03,16.41,5.95,7.27,1.32,NA
"386","Mussorgsky","Bilder einer Ausstellung",32.89,27.89,7.14,0,0,41.81,50.11,46.89,0,NA
"387","Debussy","Arabesque No. 1",26.35,35.51,52.95,45.62,65.32,13.24,1.81,2.11,5.24,NA
"388","Skrjabin","Préludes op. 11 no. 1",29.2,23.06,34.54,28.09,36.91,16.11,9.54,1.91,11.91,NA
"389","Tschaikowski","Slawischer Marsch",21.8,25.51,6.31,7.69,7.4,26.11,25.14,42.69,2.34,NA
"390","Verdi","der Troubadour",21.51,22,4.86,10.14,21.94,34.4,26.6,10.34,0,NA
"391","Lalo","Symphonie espagnole",34.46,28.17,15.62,12,23.5,45.38,22.46,8.25,0,NA
"392","Verdi","Requiem (Dies Irae)",19.08,34.92,1.62,0.71,3.75,30.21,46.75,38.75,1.96,NA
"393","Beethoven","Violinensonate Nr. 5 ""Frühlingssonate""",31.62,27.17,30.88,18.67,37.46,23.04,2.62,4.38,5.29,NA
"394","Beethoven","Sinfonie Nr. 9",29.88,20.88,28.29,22.04,44.46,15.04,2.58,6.79,1.62,NA
"395","Shostakovich","Symphony n°11 in g Minor op. 103. Second movement",17.61,19.26,5.48,0,5.57,15.91,28.35,53.57,0,NA
"396","Copland","Appalachian Suite",32.3,22.78,32.3,20.48,48.04,21.83,8.74,3.3,7.57,NA
"397","Tschaikowski","Marsch (Nussknacker)",25.53,11.37,28.68,7.21,21.32,41.63,39.68,0,1.11,NA
"398","Vivaldi","Die 4 Jahreszeiten (Winter)",27.4,23.5,12.45,6.85,8.45,30.75,28.25,23.55,3.05,NA
"399","Rachmaninow","Paganini Variations No. 18",34.4,15.35,39.2,29.95,60.85,28.3,6.8,3.65,3.95,NA
"400","Brahms","Sinfonie Nr. 4",28.12,37.21,30.53,26.09,32.26,17.94,14.21,11.56,7.29,NA
"401","Chopin","Prélude No. 16 in B-Moll",18.06,20.53,8.29,4.06,5.82,31.91,27.85,44.82,0.56,NA
"402","Franck","Violinsonate, 4. Satz",21.98,13.98,27.65,20.65,45.44,15.49,5.74,5.02,10.16,NA
"403","Tschaikowski","Dornröschen",18.6,17.16,7.3,1.7,7.74,34.72,51.14,23.49,0,NA
"404","Vivaldi","L'Estro Armonico (Concerto No. 9)",29.06,33.45,23.36,22.09,44.06,38.58,12.21,9.03,0.85,NA
"405","Rachmaninow","3. Klavierkonzert, 3. Satz",19.59,18.94,7.84,0,4.06,28.5,27.66,38.75,0.94,NA
"406","Sibelius","Var det en dröm?",28.08,26.77,17.69,17,20.65,9.62,10.77,17.92,18.81,NA
"407","Chopin","3. Klaviersonate, 4. Satz",30.31,46.58,24.62,8.88,17.69,40.54,23.92,26.38,7.69,NA
"408","Brahms","Violinkonzert",25.85,29.7,35.22,31.15,37.85,16.04,5.7,13,3.48,NA
"409","Bruckner","8. Sinfonie (Finale)",27.04,33.81,0,1.69,0,29.77,62.35,22,2.54,NA
"410","Verdi","La Traviata",29.3,16.57,34.1,30.3,41.97,17.5,11.27,6.07,2.37,NA
"411","Prokofjew","Klaviersonate No. 7",7.46,14.22,4.3,0,7.97,21.68,14.86,38.62,0,NA
"412","Casella","Italia",15.65,14.19,7.19,4.46,23.05,36.59,30.54,9.46,0,NA
"413","Tschaikowski","4. Sinfonie",10.24,19.3,2.11,4.19,8.03,11.57,36.41,19.35,3.32,NA
"414","Strauss, J.","Chit-Chat-Polka, op. 214",19.16,10.64,9.28,4.92,18.36,47.8,32.64,15.64,0,NA
"415","Skrjabin","Préludes op. 11 no. 15",22.64,19.76,29.8,21.44,53.36,11.16,3.76,1.6,6.72,NA
"416","Vivaldi","Die 4 Jahreszeiten (Frühling)",20.55,16.35,29.4,7.25,19.9,28.65,27.7,10.5,2.15,NA
"417","Mahler","6. Sinfonie, 1. Satz",28.85,18.4,45.7,27.7,53.35,13.95,0,11.3,1.55,NA
"418","Rachmaninow","Préludes op. 32 no. 5",24.74,14.13,36.91,32.3,58.87,11.7,0,0,4,NA
"419","Vivaldi","Die 4 Jahreszeiten (Sommer)",23.57,28.83,21.91,21.17,33.43,10,6.83,9.39,12.26,NA
"420","Elgar","Pomp and Circumstance (1. Marsch)",21.93,21.89,3.41,3.59,5.15,40.85,37.37,18.48,0,NA
"421","Mozart","Gran Partita, 3. Satz",26.37,13.41,20.3,25.7,47.78,4.78,3.19,8.26,7.56,NA
"422","Dvo,"9. Sinfonie, 4. Satz",27.94,23.41,14.44,0,12.66,24.34,44.5,20.84,4.66,NA
"423","Ravel","Boléro",9.21,17.79,13.12,12.45,17.61,19.97,25.7,8.79,0,NA
"424","Berg","Quartett, op. 3",15.76,18.39,3.73,5.97,4.64,12.91,5.67,55.06,1.45,NA
"425","Mozart","Don Giovanni, ""La ci darem la mano""",10.16,15.03,22.84,32.9,29.42,11.77,2.03,13.87,7.74,NA
"426","Carl Orff","O Fortuna (Carmina Burana)",26.52,33.13,16.68,6.9,9.42,45.71,68.45,12.9,0,NA
"427","Strauss, R.","Rosenkavalier, Act 1",23.74,23.32,24.84,20.94,28.06,2,4.16,15.71,13.35,NA
"428","Vivaldi","Die 4 Jahreszeiten (Herbst)",27.37,18.3,18,9.37,25.41,21.04,12.59,10.19,4.85,NA
"429","Debussy","Des pas sur la neige",22.52,15.48,38.22,17.81,34.59,10.33,0,2.85,21.96,NA
"430","Puccini","Messa di Gloria",22.33,15.37,7.7,8.63,14.26,16.85,21,5.15,0,NA
"431","Bach","Brandenburgische Konzerte",20.69,29.69,14.83,13.76,19.03,28.59,30.48,17,0.66,NA
"432","Chopin","Waltz Op.69 No.2",24.1,13.79,29.28,27.1,46.62,25.28,6.45,8.48,0,NA
"433","Beethoven","Sinfonie Nr. 7",14.83,19.38,31.31,19.52,50.62,6.86,9.72,4.93,11.93,NA
"434","Lauran Hibberd","Sugardaddy",6.92,8.38,17.31,21.15,18.69,34.77,20.85,12,2.69,"6eXsSF9ufDWqnCJC4GVIsj"
"435","Lasgo","Something",15.64,28.07,18.64,5.64,4.86,59.86,51.21,17.79,0,"3e9L9HiHKcfYLAga28Vmcf"
"436","Mariah Carey","Want You",14.5,15,20.21,20.57,23.57,19.57,27.07,14.14,7.93,"0bYg9bo50gSsH3LtXe2SQn"
"437","The Knife","Heartbeats",16.62,14,11.71,14.43,8.81,21.62,18.9,18.38,12.95,"2YacpExEbX9tF8IbFlFOo4"
"438","Lake of Tears","So Fell Autumn Rain",9.77,10.8,15.83,2.37,3.37,11.93,28.57,13.73,12.87,"2sXOtMnG1wfnNsNUQ6oDPR"
"439","Dire Straits","So Far Away",30.4,24.7,45.8,27.7,29.1,22,16.1,6.2,24.9,"3pGBIgFdfdnjtHDJR4nbrR"
"440","Joss Stone","Headturner",12.38,11.38,34.54,13.08,7.15,43.46,52.46,28.46,0.38,"7MX14dwZzEIg84qKdlWTHv"
"441","Panic! at the Disco","Death of a Bachelor",13.19,3.94,13.94,24.06,17.69,9.81,7.44,9.69,1.44,"1BECwm5qkaBwlbfo4kpYx8"
"442","Take That","Love Ain't Here Anymore",17.5,11.5,26.6,29.6,29.4,6.7,6.9,3.3,29.9,"1LtwwvNy05VlULpCTogigr"
"443","Télépopmusik","Genetic World",12.3,15.4,8.8,2.7,17.2,10.4,10.4,11.7,4.1,"0uKrhHBDUQ4w5fv4qwOubP"
"444","Hamilton, Joe Frank & Reynolds","Don't Pull Your Love",11.8,11.6,16.47,30.87,28.8,28.07,15.27,10.07,2.4,"7tJsTykoo4Jk5JguHTx9W7"
"445","Diablo Swing Orchestra","Balrog Boogie",7.21,9.93,7.29,0.5,0.79,25.64,32.29,24.93,0.5,"65RptVLH4KdgCeEAuPS8WY"
"446","Nat King Cole","Unforgettable",28.83,20.33,62.92,48.83,61,16.42,6.25,7.92,20.92,"648TTtYB0bH0P8Hfy0FmkL"
"447","Zendaya","Only When You're Close",9.94,12.72,12.28,7.28,8.11,6.33,16.61,23.22,16.89,"7BhxxlLcCCfvixzy8KExZv"
"448","Chris Rea","And you my love",8.2,4.1,19.25,31.8,24.35,12.5,7.15,7.9,16.95,"7iJmWC3h8tJOCK4OzPFZ2c"
"449","Imagination","Music and Lights",28.6,17.87,40.8,33.67,22.4,52.33,30.6,4.73,0.47,"3kEA66ZM9mCxwhynOxgsLh"
"450","Five Star","Let Me Be The One",4.29,1.29,20.88,14.12,7.65,36.18,15.71,6.82,1.29,"7Ly6unSf5gXUdF3S3nGlSH"
"451","Joshua Kadison","Jessie",26.71,17.86,27.5,34.79,30.64,14.29,19.14,8.14,27.43,"4n8iSiSWRdaSeSpJMbdk9O"
"452","Chaka Khan","So Naughty",13.45,15.64,11.27,20.55,6.73,26.73,33.45,13.18,8.09,"1CpsuBEVGtEMR8MqoCa3gK"
"453","Bootsy Collins","I'd Rather Be With You",6.71,8.53,25.18,9.65,5.76,18.24,23.35,8.35,8.94,"42rFOQqHmXf9IkdwVqkooK"
"454","Foster the People","Pumped Up Kicks",22.05,7.95,40.73,3.95,20.05,39,23.09,8.95,8.23,"7w87IxuO7BDcJ3YUqCyMTT"
"455","Chris de Burgh","The Lady in Red",31.65,22.71,41.82,52,33.53,15.18,8.59,5.06,35.29,"1GeNWyZtCHbcp3ZWp8GTOO"
"456","Britney Spears","Where Are You Now",5.12,6.69,25.75,26.06,25.69,7.56,4.62,14.19,23.94,"4MOBPIIRUgHTBAp0NpgLTm"
"457","Armin van Buuren","Not Giving Up On Love",16.33,22.75,12.42,6.33,15.25,39.42,30.83,22.42,4.67,"1frLUl7UjAs0eLL2FzJgmA"
"458","Onuka","Vsesvit",17.56,12.22,4.22,11,17,28.22,24.67,4.33,11.33,"0ROyrrMf9crvLUImY1SoG6"
"459","Sly & The Family Stone","(You Caught Me) Smilin'",6.85,5.31,22.08,14.77,16.85,25.62,22.31,8.85,9.15,"5XTiyBLVLjqhAGRcJBUC5F"
"460","Daddy Was A Milkman","Breathe In",19.56,10.22,16.11,29.61,52.56,10.17,1.83,5.22,10.5,"0JD76XBC2uL6A5ZHTKIKHF"
"461","Gorillaz","Tomorrow Comes Today",26.43,25.86,27.21,12.21,24.71,24.57,17.79,6.21,22.64,"3qdDjz9kOvquEFbvXBYOMQ"
"462","Kool & The Gang","Steppin' Out",24.13,17.2,28.33,19.4,20.53,49.27,25.6,9.07,1.73,"05NdLBmUVkXlBpel2QR07Y"
"463","Adriana Calcanhotto","Devolva-me",18,15.5,32.29,27.79,40.71,5.29,11.14,9.07,26.93,"5sz2LrG6jY6u7U0g2k7kws"
"464","Michael Jackson","Ain't No Sunshine",20.57,15.71,29,18.5,12.71,20.71,28.93,10.93,15.07,"6ac4lvV0LKQlbHYXJ7vTDb"
"465","Lily Allen","Smile",19.5,10.11,42.56,16.44,31.89,33.78,15.17,7.5,9.33,"4aR9bPMAOFySBuQSbVWF3d"
"466","Christina Aguilera","I Got Trouble",14,14.15,27.15,23.08,31.85,23.08,28.08,11.46,5.62,"6eRY1OgTVUeqtyEviApFaw"
"467","Hot Chip","So Glad to See You",11.1,9.5,16.5,24.4,20.1,14.4,7.1,11.5,5.9,"0PCYXSyESysJ1Eodxjyn9p"
"468","Loreen","My Heart Is Refusing Me",29.6,20.3,21.5,6.2,9.7,36.4,55.6,17.2,3.8,"0sg9jTiFokw2U15qGK7wPK"
"469","Leftfield","Release the Pressure",18.71,10.36,12.93,15.64,24.93,31.64,21.07,9.36,9.43,"6SpP5cpf4dY8AFFtXEfqmA"
"470","Modestep","Sunlight",2.69,9.88,4,1.38,4.44,13.75,18.62,39.44,4.31,"0Ix7doBgImhoWJfDnwezP1"
"471","The Whitest Boy Alive","Keep a Secret",12.69,11.69,14.31,5.12,20,8.31,4,22,11.75,"7pHWIlKBTQJM9oErC4OzSP"
"472","Patti LaBelle","Over The Rainbow",34.15,30.69,24.23,20.08,15,21.23,45.54,8.23,6.31,"3e7isfNT5Z8TSms4zPkMPV"
"473","M2M","Don't Say You Love Me",11.27,8.93,23.4,30.53,19.4,34.67,6.73,6.87,6.8,"65i1UPsUtPlEVzewEZR6sY"
"474","Billie Holiday","Lady Sings The Blues",14.79,13.5,30.07,27.71,30.36,7.29,4.71,3,19.29,"6rX7Rgi2O5csTzLan7rL0c"
"475","Sixpence None the Richer","Kiss Me",15.86,6.93,39.64,37.5,26.36,24.86,5.5,6.86,6.14,"754kgU5rWscRTfvlsuEwFp"
"476","Vanessa da Mata","Eu Não Tenho",13.56,5.39,13.83,16.72,22.17,19.89,4.94,4.67,4,"3RfOd8VhrhsV7othWm5mNF"
"477","Ben E. King","Stand By Me",33.75,32.62,66.12,57.38,44.88,49,16.75,5.88,37,"3SdTKo2uVsxFblQjpScoHy"
"478","Coldplay","Animals",10.58,8.83,29.92,14.42,18.42,0.58,8.17,26.08,28.58,"59tjfzA98dum1TXhJ4XWoe"
"479","Santigold","You'll Find A Way",31.67,20.92,12.67,5.25,9.92,53,49.58,28.5,3.75,"1ZUj6t3goYbtWrCKFnwzIf"
"480","The Pointer Sisters","I'm So Excited",18.18,15.71,50.59,15.24,13.24,69.24,48.35,9.94,1.35,"1ot6jEe4w4hYnsOPjd3xKQ"
"481","Armin van Buuren","This Is What It Feels Like",18.86,17.93,20.36,16.14,8.79,29.86,22.43,7.64,11.5,"5GjnIpUlLGEIYk052ISOw9"
"482","Cissy Houston","Think It Over",20.27,21.64,21.45,11.45,11.64,47.45,40.73,18,7.45,"09HKieZL31JLWTb2s5tm6I"
"483","Chris Rea","Fool (If You Think It's Over)",11.45,13.85,37.1,28.65,45.95,31.95,5.5,5.25,13.95,"0UHiH4dy1hXULYl8CgNxRV"
"484","Katy B","Katy on a Mission",10.39,7.83,3.06,2,2.5,10.06,23.5,15.56,1.94,"47uhrF6IvyE2eUyyfLAEzf"
"485","Emma Bunton","Take My Breath Away",10.08,2.75,22.42,43.58,19.33,15.25,2.25,0.42,7.33,"0wVPsQNQ4tsjTTf2LIdOA7"
"486","Electric Wizard","Vinum Sabbathi",4.54,6.08,6,1.73,2.88,8.65,36.38,41.92,5.42,"3d1uPNDeeceYhoNNo4pnv8"
"487","Noisestorm","Breakdown VIP",24.62,38.77,32.54,10.31,17.38,25.92,37.69,17.85,3,"1wrKexsB7sCKsRyfu4J4QT"
"488","High on Fire","Rumors of War",11.69,5.31,13.46,0.15,0.15,13.69,37.08,66.92,4.85,"33XdEVFV3YFrKQ0y99t6Sf"
"489","Caetano Veloso","Alexandre",14.07,5.57,9.43,10.5,10.5,40.29,11.07,9.29,2.36,"4fpHhkV7T4WEwdkpN5tL6R"
"490","Oliver Cheatham","Get Down Saturday Night",20,13.79,14.21,6.68,8.05,52.74,30.32,16.68,2.53,"0IZVSGXU9oBi6mbsWyLas6"
"491","Bruno Mars","Just the Way You Are",20.29,10.67,45.86,40.24,22.33,45.43,16.81,5.05,9.57,"7BqBn9nzAq8spo5e7cZ0dJ"
"492","Kelis","Rolling Through the Hood",5,6.36,17.73,15.45,22.91,17.55,20.36,3.91,8,"7bjpWKh3teUpsNgdpcq7eb"
"493","OutKast","Hey Ya!",8.38,4.75,32.12,1.12,9,53.88,40,3.62,1.12,"2PpruBYCo4H7WOBJ7Q2EwM"
"494","Lolly","Viva La Radio",21.58,12.42,24,11.33,11.33,39.33,23.17,24.83,1.42,"0N08KoCLrMNg9liFPucWhU"
"495","Kings of Convenience","I'd Rather Dance With You",26.64,11.36,26.91,33.91,24.09,30.91,16.36,6.45,5.09,"4hGOhC87bn7JBdYykOJJvJ"
"496","B.J. Thomas","Rock And Roll Lullaby",14.5,10.56,35.25,28.38,36.5,17.94,2,0.62,12.44,"3aVNV6pawEERvfdurW66ZT"
"497","Princess Chelsea","When The World Turns Grey",21.2,23.07,26,19.47,24,6.27,10.13,14,27.8,"3Oe4aYH6ifYIIYsX2isIR4"
"498","Aqua","Barbie Girl",10.53,19.63,58.37,5.58,10,60.42,21.63,0.53,0.53,"2RSOzvKUnfDDrb2nQPfpQU"
"499","Milli Vanilli","I'm Gonna Miss You",25.5,14.5,28.75,44.5,48.31,37.56,8.12,7.69,14.31,"2dThEJP9S344qzNhePcSzj"
"500","Bobby Womack","Woman's Gotta Have It",13.36,12.64,29.91,23.09,18.09,24.73,13.91,0,4.45,"20HCbY9qPpi1H2pP2MRUWy"
"501","Dido","Don't Leave Home",32.75,20.33,42.42,38,35.83,19.67,20.42,6.75,30.33,"4N7e9ltiDKb19Swu2CWqMB"
"502","En Vogue","Beat of Love",14,8.44,6.44,18.44,19.33,7,5.22,27,3.22,"2CHSYLRP4AQgyKV17Qc9QO"
"503","Ed Sheeran","Happier",23.29,15.14,39.29,30.71,25.21,5,7,10.29,43.57,"2RttW7RAu5nOAfq6YFvApB"
"504","Gorillaz","Feel good Inc.",62.92,26.08,17.54,24.85,29.85,48,23.31,7.38,0,"0d28khcov6AiegSCpG5TuT"
"505","Jamiroquai","Virtual Insanity",61.77,11,29.62,18.38,24.85,45,38.08,0,0.92,"2Bxt2qamL6iu0XN0Td484J"
"506","Jose Gonzales","Heartbeats",50.83,21.08,38.92,52.58,52.08,0,9.17,0,9.33,"11X4Gw3T4hoktVruLgTnm1"
"507","Aerosmith","I Don't Want To Miss A Thing",39.17,19.75,53.42,47.58,42.08,44.25,31.33,7.42,12.42,"225xvV8r1yKMHErSWivnow"
"508","Sugababes","Push The Button",45,14.73,24.91,12.55,12,57.36,42.45,17.73,6.91,"3EDS89HeAhHiZKlljciK0a"
"509","Boy","Little Numbers",58.17,29.17,17.58,25.5,31.42,54,14,0,3.5,"34UMrasAWi3VHMWpMePxGu"
"510","Neil Diamind","Sweet Caroline",39,23.83,29.33,20.33,6.83,53.92,18.42,0,0,"62AuGbAkt8Ox2IrFFb8GKV"
"511","Elton John","Your Song",30.23,24.06,37.66,23.46,22.06,21.57,25.94,5.66,20.74,"38zsOOcu31XbbYj9BIPUF1"
"512","Lady Gaga","Pokerface",23.53,14.09,30.59,0,11.53,67.76,43.15,3.21,0,"1QV6tiMFM6fSOKOGLMHYYg"
"513","Madonna","Don't Tell Me",10.15,8.18,17.21,10.3,26.76,30.42,8.33,12.91,0,"23EhTCPRTlLVM6VQUyh8bH"
"514","Brett Dennen","She's Mine",21.79,9.15,21.12,31.58,44.48,30.36,3.91,10.3,1.06,"5MnmTKjatNTY3BJ2DURVjE"
"515","Little Big Town","Girl Crush",23.42,10.48,25.36,38.55,26.48,14.45,9.39,6.52,18.12,"11qh54D0PKkBwelpDxxiEU"
"516","Robin Schulz","Sugar",16.85,7.93,11.56,9.52,22,48.26,38,9,0,"5tf1VVWniHgryyumXyJM7w"
"517","Jeremy Kay","Have It All",24.19,14.3,19.33,38.11,30.48,30,16.59,2.19,8.33,"2lt8MKIve6BMPAJ6xfH8bL"
"518","Keane","Everybodys Changing",23.11,20.61,30.93,12.43,32.11,32.14,9.5,1.75,11.5,"0yac0FPhLRH9i9lOng3f81"
"519","Enya","Only Time",24.11,34,38.59,29,45.59,17.63,16.59,2.11,19.56,"6FLwmdmW77N1Pxb1aWsZmO"
"520","Katie Tunstall","Suddenly I See",38.29,15.75,21.82,22.5,22.39,60.11,30.89,1.71,0,"5p9XWUdvbUzmPCukOmwoU3"
"521","Bruno Mars","Grenade",27.96,15.68,35.46,24.21,14.29,49.21,26.82,9.79,8.25,"4lLtanYk6tkMvooU0tWzG8"
"522","Macklemore","Same Love",40.46,19.07,34.93,32.5,30.25,31.57,13.32,4.96,6.25,"01uqI4H13Gsd8Lyl1EYd8H"
"523","Magic!","Let Your Hair Down",17.46,11.54,21,28.46,34.86,19.61,8.36,13.89,0,"0uQSHrFDVtbQyxNFCwm1EC"
"524","Elton John","Don't Go Breaking My Heart",43.67,18.83,25.2,10.7,35.2,67.6,31.17,7.33,0,"7HW5WIw7ZgZORCzUxv5gW5"
"525","The Weeknd","Starboy",36.37,18.77,15.9,21.3,24.3,39.83,16.1,17.6,6.53,"7MXVkk9YMctZqd1Srtv4MB"
"526","All American Rejects","Fallin Apart",28.07,17.13,9.13,9.73,26.77,56.2,40.03,8.67,0,"3YoLDoNNTKb7R3Gc3yRrGK"
"527","Bon Iver","Skinny Love",42,25.93,55.9,30.87,49.57,27.5,8.7,3.23,13,"1HkOPLwAJH3kE8UnqgxF4s"
"528","Katie Perry","I Kissed A Girl",33.45,12.71,24.45,6.39,15.23,59.68,44.39,8.55,1.55,"14iN3o8ptQ8cFVZTEmyQRV"
"529","Brett Dennen","Closer To You",18.62,6.44,24.69,26.22,42.78,12.25,6.78,7.12,6.38,"2NqSfApThFnUxlKaj4tnXB"
"530","AnnenMayKantereit","Wohin Du Gehst",20.06,13.41,25.56,5.38,14.72,34.38,34.09,9.47,2.19,"40PO9gfu9bHdnsQqEKrcjg"
"531","Tracy Chapman","Fast Car",26.23,21.52,43.42,33.26,49.87,21.16,3.65,4.71,8.03,"2M9ro2krNb7nr7HSprkEgo"
"532","Leslie Clio","I Couldnt Care Less",20.27,5.38,1.62,11.04,24.27,39.38,19.81,8.69,0,"7kX5DiuPwRlYwPAHoOHFOg"
"533","Shakira","Hips Don't Lie",32.15,7.04,21.65,14.19,21.96,61.77,36.54,7.65,0,"3ZFTkvIE7kyPt6Nu3PEa7V"
"534","Atomic Kitten","Whole Again",24.56,8.7,32.11,21.19,10.96,35.11,7.37,3.44,2.3,"16MJqq0vEuW6GRX6faetTm"
"535","Pink","Who Knew",18.96,13.31,41.77,15.88,13.54,36.19,35.27,2.54,15.73,"2hns6Dv29Yrg68AVTJiAyA"
"536","Britney Spears","Baby One More Time",24.21,15.45,24.31,18.62,15.41,42.59,30,13.86,6.38,"3MjUtNVVq3C8Fn0MP3zhXa"
"537","Carlos Santana","Smooth",20.46,1.32,9.93,14.68,9,52.64,27.25,7.75,0,"0n2SEXB2qoRQg171q7XqeW"
"538","Leon Bridges","River",26.86,17.5,27.14,30,37.64,14.79,5.64,3.43,3.82,"3hhbDnFUb2bicI2df6VurK"
"539","The Beatles","Strawberry Fields Forever",24.41,16.03,32,38.76,38.24,9.79,3.62,9.83,3.41,"3Am0IbOxmvlSXro7N5iSfZ"
"540","Panic! at the Disco","Nine In The Afternoon",26.32,17.25,22.25,20.46,17.18,44.89,23.5,7.86,3.57,"1S30kHvkkdMkcuCTGSgS41"
"541","Arctic Monkeys","Fluorescent Adolescent",48.64,9.86,17.93,8.93,19.93,60,23.79,2.36,3.32,"2x8evxqUlF0eRabbW2JBJd"
"542","Puff Daddy","I'll Be Missing You",37.04,21.89,42.71,22.36,20.18,32.68,9.68,6.04,17.39,"3QHONiXGMGU3z68mQInncF"
"543","The Head And The Heart","Rivers And Roads",27.82,12.64,45.11,31.93,33.89,12.43,2.39,1.18,26.25,"4fN0dQGDaV4Hg7Gd7mBOE0"
"544","Ed Sheeran","Shape Of You",40.67,18.37,33.56,22.74,21.96,47.48,16.15,12.78,5.11,"7qiZfU4dY1lWllzX7mPBI3"
"545","Black Eyed Peas","Just Can't Get Enough",10.37,14.22,20.48,15.19,20.85,29,8,4.48,1,"3JA9Jsuxr4xgHXEawAdCp4"
"546","Childish Gambino","Redbone",12.11,12.74,24.48,25,22.7,30.96,6.52,16.3,3.3,"0wXuerDYiBnERgIpbb3JBR"
"547","Johnny Cash","Hurt",20.11,14.59,35.89,16.26,26.7,7.15,8.44,6.33,32.67,"28cnXtME493VX9NOw9cIUh"
"548","Bruno Mars","Treasure",23.71,9.45,10.97,17.03,27.58,54.1,25.81,7.77,0.84,"55h7vJchibLdUkxdlX3fK7"
"549","Stevie Wonder","I Wish",26,1.81,15.06,6.81,14.1,60.74,21.94,2.58,2.48,"687YZan9Gol1UVvbpUSO6Y"
"550","The Jackson 5","Who's Lovin You",30.68,14.84,37.32,32.1,37.35,24.84,7.97,0,7.19,"6cZrsaNb4Zo9E5KHk7gcz5"
"551","Moby","Porcelain",23.23,15.26,29.45,20.19,33.19,17.74,5.55,1.23,0,"1hEh8Hc9lBAFWUghHBsCel"
"552","Pharrell Williams","Happy",34.98,9.05,11.82,5.64,30.36,68.52,36.25,6.05,0,"60nZcImufyMA1MKQY3dcCH"
"553","Spice Girls","Wannabe",23.18,1.89,21.43,5.82,25.02,71.11,38.55,9,0,"1Je1IMUlBXcx1Fz0WE7oPT"
"554","Aretha Franklin","(You Make Me Feel Like) A Natural Woman",26.63,21.07,26.35,27.26,21.84,36,24.93,3.58,4.81,"5K09WxKdlkroDyEVyOSySy"
"555","Nina Simone","Feeling Good",20.21,25.3,29.65,28.14,28.19,48.91,39.7,3.26,0.58,"6Rqn2GFlmvmV4w9Ala0I1e"
"556","Whitney Houston","I Wanna Dance With Somebody",39.73,11.97,40.2,16.5,24.97,74.6,47.73,1.57,3.57,"2tUBqZG2AbRi7Q0BIrVrEj"
"557","The Collapsable Hearts Club","Easy Streets",18,4.4,10.1,4.03,11.1,39.87,15.77,26.73,0,"4NmWUWHsglLlJXvq1pGNsk"
"558","Gotye","Somebody That I Used To Know",24,19.27,43.03,20.07,28.57,40.93,12.33,4.13,18.03,"6md4w95cnKaW64JyEQ3A0L"
"559","Justin Bieber","Love Yourself",17.07,12.7,28.73,43.07,43.6,29.77,0.33,3.53,8.43,"50kpGaPAhYJ3sGmk6vplg0"
"560","Theo Katzman","Hard Work",39.28,8.48,8.56,7,23.92,50.96,25.88,11.6,0,"3gaQbhacVKwcsatM0FlSa9"
"561","Katy Perry","Swish Swish",18.88,4.96,2.88,2.4,15.36,54.36,33.44,16.76,2.44,"3OtMnyUaiipcAT23A8liyi"
"562","Bee Gees","Words",19.56,9.52,23.28,14.16,37.2,14.48,9.4,25.48,1.76,"07PIhdmyYIw8dMeDMsx9FU"
"563","Sam Smith","Lay Me Down",30.64,28.28,39.48,43.12,40.12,4,0,0,34.84,"74sb4Gib0cL3TQeCjYF8vh"
"564","David Guetta","Memories",9.55,4.79,14.45,2.97,5.59,54.9,23.14,16.17,0,"5xYC48nOppVemY6U5GRGTb"
"565","Rihanna","Umbrella",34.48,10.59,34.45,10.86,10.48,45.76,15,9.76,5.14,"49FYlytm3dAAraYgpoJZux"
"566","Vanessa Carlton","A Thousand Miles",45,7.38,43.9,22.79,23.41,54.97,9.86,7.24,4.24,"4w1lzcaoZ1IC2K5TwjalRP"
